name	coverage	copy_number
RND-1_FAMILY-406#LINE/CR1	3115212	2171
FBTE0000039#Unspecified	2757262	1421
RND-1_FAMILY-53#LINE/R1-LOA	2136605	1203
RND-1_FAMILY-98#RC/Helitron	2034233	2671
RND-1_FAMILY-252#LINE/CR1	1474941	1049
RND-1_FAMILY-395#LTR/Gypsy	1324635	388
RND-1_FAMILY-214#LTR/Pao	1005321	421
RND-1_FAMILY-275#LTR/Pao	884369	421
RND-1_FAMILY-4#Unknown	779715	2306
RND-4_FAMILY-6354#LINE/CR1	747531	875
RND-1_FAMILY-42#RC/Helitron	723854	336
RND-1_FAMILY-264#RC/Helitron	722729	1180
RND-1_FAMILY-247#DNA/Maverick	704278	340
RND-1_FAMILY-155#DNA/CMC-Chapaev-3	566180	556
RND-1_FAMILY-114#LTR/Pao	563602	205
RND-1_FAMILY-88#LTR/Pao	558808	331
RND-1_FAMILY-402#LTR/Gypsy	545228	216
RND-4_FAMILY-1729#LTR/Gypsy	514012	230
RND-4_FAMILY-1254#Unknown	497797	271
RND-1_FAMILY-423#LTR/Gypsy	471222	210
RND-1_FAMILY-30#DNA/PIF-Harbinger	467215	713
RND-1_FAMILY-332#LTR/Pao	462336	327
RND-1_FAMILY-83#RC/Helitron	432267	611
RND-1_FAMILY-307#LTR/Gypsy	421268	166
RND-1_FAMILY-8#Unknown	407847	810
RND-1_FAMILY-1#DNA/CMC-Chapaev-3	399668	397
RND-1_FAMILY-284#LTR/Pao	392996	198
RND-1_FAMILY-108#RC/Helitron	382476	850
RND-4_FAMILY-39#LTR/Gypsy	382273	188
RND-1_FAMILY-193#LTR/Pao	374953	188
RND-1_FAMILY-90#LINE/L2	370793	293
RND-1_FAMILY-111#LINE/CR1	350175	280
RND-4_FAMILY-2571#LTR/Pao	344666	200
RND-1_FAMILY-273#LTR/Gypsy	330444	760
RND-4_FAMILY-515#LTR/Pao	327659	124
RND-1_FAMILY-175#LTR/Pao	327608	844
RND-1_FAMILY-365#LTR/Gypsy	315666	104
RND-1_FAMILY-48#RC/Helitron	291860	1213
RND-4_FAMILY-135#RC/Helitron	291288	843
RND-1_FAMILY-390#LINE/I	278967	219
RND-1_FAMILY-362#LTR/Pao	277566	164
RND-1_FAMILY-442#LTR/Gypsy	253405	151
RND-1_FAMILY-427#LTR/Gypsy	246566	108
FBTE0000683#Unspecified	242081	1316
RND-4_FAMILY-1375#LTR/Pao	239651	110
RND-1_FAMILY-14#Unknown	237926	725
RND-1_FAMILY-297#LTR/Pao	230552	178
RND-4_FAMILY-1540#LTR/Gypsy	224512	116
RND-3_FAMILY-663#Unknown	222741	302
RND-1_FAMILY-417#LTR/Gypsy	220952	61
RND-1_FAMILY-371#Satellite	220378	156
RND-1_FAMILY-46#DNA/TcMar-Tc1	220193	297
RND-1_FAMILY-399#LTR/Gypsy	217529	113
RND-4_FAMILY-495#LTR/Gypsy	215320	78
RND-1_FAMILY-403#LINE/CR1	213703	552
RND-1_FAMILY-150#LTR/Gypsy	210168	160
RND-4_FAMILY-836#LTR/Gypsy	203600	66
RND-4_FAMILY-246#LTR/Gypsy	202715	100
RND-4_FAMILY-67#LTR/Gypsy	201261	115
RND-4_FAMILY-1164#LTR/Pao	198672	259
RND-4_FAMILY-1152#LTR/Gypsy	198419	101
RND-4_FAMILY-355#LINE/R1-LOA	197296	339
RND-4_FAMILY-1274#LTR/Gypsy	195562	114
RND-1_FAMILY-367#LTR/Gypsy	191694	144
RND-4_FAMILY-225#LTR/Gypsy	188675	303
RND-4_FAMILY-575#LINE/I	182535	192
RND-1_FAMILY-205#LTR/Gypsy	178506	119
RND-1_FAMILY-316#LTR/Gypsy	176985	94
RND-1_FAMILY-19#RC/Helitron	176968	453
RND-1_FAMILY-322#Unknown	175652	603
RND-1_FAMILY-274#RC/Helitron	173294	500
RND-1_FAMILY-16#DNA/PIF-Harbinger	172029	338
RND-4_FAMILY-194#LTR/Gypsy	168986	78
RND-4_FAMILY-6405#Satellite	168849	47
RND-1_FAMILY-398#Unknown	168169	288
RND-4_FAMILY-172#Unknown	167837	82
RND-4_FAMILY-189#Satellite	167277	68
RND-1_FAMILY-117#Unknown	161496	192
RND-1_FAMILY-343#DNA/TcMar-Tc1	161095	170
RND-1_FAMILY-243#LTR/Gypsy	157375	111
RND-4_FAMILY-137#LTR/Gypsy	156869	90
RND-4_FAMILY-2364#LTR/Pao	156081	169
RND-1_FAMILY-447#LTR/Gypsy	152046	115
RND-1_FAMILY-258#RC/Helitron	150069	150
RND-1_FAMILY-197#Unknown	149527	338
RND-1_FAMILY-320#DNA/PIF-Harbinger	148874	361
RND-4_FAMILY-2572#LTR/Gypsy	148383	93
FBTE0000007#Unspecified	144117	106
RND-1_FAMILY-334#LTR/Pao	143476	106
RND-1_FAMILY-54#Unknown	137895	309
RND-1_FAMILY-20#DNA/P	137482	257
RND-1_FAMILY-440#LTR/Pao	137420	181
RND-4_FAMILY-1273#LINE/R1	137297	162
RND-4_FAMILY-1002#LINE/I-Jockey	135056	92
FBTE0000190#Unspecified	134417	195
RND-1_FAMILY-236#LINE/CR1	132946	258
RND-4_FAMILY-996#LTR/Pao	131035	86
RND-1_FAMILY-295#Unknown	129348	299
RND-4_FAMILY-637#LTR/Copia	127852	97
RND-1_FAMILY-139#LINE/R1	125760	217
RND-1_FAMILY-12#Satellite	125469	55
RND-4_FAMILY-1007#DNA/CMC-EnSpm	125239	188
RND-3_FAMILY-771#LTR/Gypsy	120649	80
RND-1_FAMILY-477#LTR/Gypsy	120553	483
RND-1_FAMILY-348#Unknown	118431	123
RND-1_FAMILY-141#RC/Helitron	117294	201
RND-4_FAMILY-2726#DNA/CMC-Chapaev-3	117099	156
RND-1_FAMILY-208#DNA/CMC-Chapaev-3	116693	252
RND-1_FAMILY-457#LINE/CR1	116682	433
RND-1_FAMILY-335#LTR/Gypsy	115199	61
RND-4_FAMILY-4150#LTR/Gypsy	114925	90
RND-4_FAMILY-1008#DNA/hAT-Pegasus	114861	223
RND-3_FAMILY-286#LINE/I-Jockey	114456	355
RND-1_FAMILY-52#Unknown	114241	413
RND-4_FAMILY-494#LTR/Gypsy	113604	74
RND-1_FAMILY-170#DNA/CMC-Transib	113325	197
RND-1_FAMILY-43#DNA/hAT-Charlie	112833	242
RND-1_FAMILY-71#LINE	108201	416
RND-4_FAMILY-4105#LTR/Gypsy	108165	137
RND-4_FAMILY-5130#LINE/R1	107268	88
RND-3_FAMILY-380#Unknown	106846	276
RND-4_FAMILY-5372#LTR/Pao	106114	85
RND-4_FAMILY-238#DNA/CMC-Transib	104020	142
RND-1_FAMILY-26#Unknown	103907	267
RND-1_FAMILY-211#DNA/TcMar-Tc1	102076	167
RND-1_FAMILY-196#Unknown	101175	160
RND-4_FAMILY-8687#Unknown	100351	35
RND-1_FAMILY-142#LTR/Pao	99395	185
RND-1_FAMILY-207#Unknown	95713	324
RND-1_FAMILY-38#Unknown	93888	283
RND-4_FAMILY-900#LTR/Gypsy	92786	72
RND-4_FAMILY-901#LTR/Gypsy	92519	62
RND-4_FAMILY-1011#DNA/PIF-Harbinger	90998	136
RND-4_FAMILY-490#LTR/Gypsy	90668	56
RND-3_FAMILY-239#Unknown	89564	106
RND-4_FAMILY-1283#LINE/R1	89124	73
RND-4_FAMILY-3846#LTR/Pao	88633	68
RND-4_FAMILY-1250#Unknown	88450	270
RND-4_FAMILY-254#DNA/PIF-Harbinger	88327	154
RND-1_FAMILY-392#DNA/P	86788	175
RND-1_FAMILY-364#LTR/Gypsy	86339	80
RND-1_FAMILY-479#RC/Helitron	86019	122
RND-1_FAMILY-435#DNA/CMC-EnSpm	81780	113
RND-1_FAMILY-29#Unknown	81351	149
RND-1_FAMILY-468#LTR/Gypsy	80186	67
RND-1_FAMILY-74#LTR/Gypsy	79851	67
