subclass	superfamily	family	total_bp	mean_width	min_width	max_width	sd_width	mean_div	min_div	max_div	sd_div
DNA	Academ	RND-4_FAMILY-1623	32851	497.74	103	1775	386.57	0.12	0.01	0.3	0.08
DNA	Academ	RND-4_FAMILY-2226	54800	480.7	101	3910	751.67	0.14	0	0.28	0.07
DNA	CMC	FBTE0000885	43738	892.61	105	2916	871.28	0.19	0	0.31	0.12
DNA	CMC	RND-1_FAMILY-133	20122	628.81	117	1576	417.91	0.1	0.01	0.26	0.05
DNA	CMC	RND-1_FAMILY-211	16899	497.03	118	2212	535.37	0.11	0.01	0.33	0.08
DNA	CMC	RND-1_FAMILY-213	33273	739.4	133	1749	582.64	0.12	0	0.34	0.11
DNA	CMC	RND-1_FAMILY-218	115181	570.2	104	1350	456.74	0.13	0	0.31	0.09
DNA	CMC	RND-1_FAMILY-281	6530	241.85	102	743	145.22	0.14	0.06	0.36	0.08
DNA	CMC	RND-1_FAMILY-29	73805	444.61	101	1084	360.04	0.15	0	0.35	0.09
DNA	CMC	RND-1_FAMILY-298	32363	1011.34	106	4014	1232.14	0.12	0.01	0.33	0.11
DNA	CMC	RND-1_FAMILY-316	21597	423.47	101	1196	243.2	0.12	0.05	0.33	0.07
DNA	CMC	RND-1_FAMILY-333	23617	407.19	106	1675	348.38	0.09	0.05	0.32	0.04
DNA	CMC	RND-1_FAMILY-372	16968	585.1	103	1294	477.2	0.08	0.01	0.23	0.08
DNA	CMC	RND-1_FAMILY-394	77342	480.39	102	3078	528.61	0.07	0.01	0.28	0.07
DNA	CMC	RND-1_FAMILY-412	9461	1892.2	160	4154	2072.03	0.07	0.02	0.14	0.06
DNA	CMC	RND-1_FAMILY-78	495199	1130.59	102	3272	873.62	0.07	-0	0.32	0.07
DNA	CMC	RND-1_FAMILY-8	139065	946.02	107	2482	850.35	0.04	-0	0.25	0.04
DNA	CMC	RND-1_FAMILY-9	343159	1159.32	101	3955	747.33	0.04	-0	0.27	0.04
DNA	CMC	RND-1_FAMILY-93	81119	592.11	104	1641	301.47	0.04	0	0.11	0.02
DNA	CMC	RND-3_FAMILY-733	31702	440.31	105	5100	746.4	0.15	0.01	0.3	0.07
DNA	CMC	RND-4_FAMILY-103	92401	751.23	108	3549	900.53	0.12	0.01	0.39	0.1
DNA	CMC	RND-4_FAMILY-1289	50733	512.45	101	1054	371.2	0.14	-0	0.32	0.11
DNA	CMC	RND-4_FAMILY-1876	45568	723.3	101	2994	844.77	0.18	0.01	0.37	0.13
DNA	CMC	RND-4_FAMILY-2030	11658	685.76	158	3557	827.08	0.11	0.03	0.27	0.07
DNA	CMC	RND-4_FAMILY-2076	39332	634.39	117	2672	626.92	0.11	0.01	0.32	0.1
DNA	CMC	RND-4_FAMILY-2154	27680	629.09	110	2384	617.4	0.15	0.01	0.35	0.12
DNA	CMC	RND-4_FAMILY-2389	29554	642.48	110	2179	613.89	0.2	0.01	0.42	0.14
DNA	CMC	RND-4_FAMILY-2545	18170	790	120	1378	363.05	0.08	0.01	0.27	0.07
DNA	CMC	RND-4_FAMILY-2557	39595	527.93	104	1573	411.18	0.22	0.01	0.35	0.12
DNA	CMC	RND-4_FAMILY-2710	19863	218.27	101	1121	157.76	0.15	0.03	0.28	0.05
DNA	CMC	RND-4_FAMILY-2825	24868	421.49	102	1737	347.4	0.14	0.01	0.43	0.08
DNA	CMC	RND-4_FAMILY-3526	12844	298.7	103	1814	307.07	0.1	0.05	0.17	0.03
DNA	CMC	RND-4_FAMILY-594	24583	501.69	101	1563	438.49	0.22	0	0.36	0.1
DNA	CMC	RND-4_FAMILY-595	61349	689.31	101	3154	723.29	0.17	0	0.35	0.12
DNA	CMC	RND-4_FAMILY-666	97208	506.29	101	15726	1906.16	0.16	-0	0.35	0.07
DNA	CMC	RND-4_FAMILY-797	25020	438.95	117	1654	273.54	0.11	0.03	0.16	0.02
DNA	CMC	RND-4_FAMILY-8300	13773	510.11	103	1629	519.3	0.14	0.02	0.37	0.08
DNA	CMC	RND-4_FAMILY-908	14997	535.61	107	1932	545.53	0.12	0.02	0.36	0.09
DNA	MULE	RND-1_FAMILY-350	37803	663.21	102	2566	789.62	0.14	-0	0.3	0.09
DNA	MULE	RND-1_FAMILY-358	23400	1114.29	108	2543	961.09	0.06	0.01	0.27	0.09
DNA	Maverick	RND-1_FAMILY-109	5006	1251.5	231	2502	959.72	0.08	0.01	0.16	0.08
DNA	Maverick	RND-1_FAMILY-129	428	428	428	428	NA	0.11	0.11	0.11	NA
DNA	Maverick	RND-1_FAMILY-157	167390	2498.36	148	15976	4738.88	0.06	-0	0.22	0.07
DNA	Maverick	RND-1_FAMILY-326	81808	7437.09	247	14986	7056.72	0.04	0	0.21	0.06
DNA	Maverick	RND-1_FAMILY-340	76808	1219.17	103	10408	1821.92	0.07	0.01	0.22	0.05
DNA	Maverick	RND-1_FAMILY-393	5679	1419.75	181	4074	1806	0.03	0	0.06	0.03
DNA	Maverick	RND-4_FAMILY-252	151291	1400.84	101	7231	1370.36	0.08	-0	0.22	0.06
DNA	Maverick	RND-4_FAMILY-2869	197353	1333.47	103	14607	2393.22	0.1	0	0.31	0.06
DNA	P	RND-1_FAMILY-113	18235	536.32	101	2090	542.79	0.11	0.01	0.3	0.08
DNA	P	RND-1_FAMILY-130	35816	511.66	101	2046	514.38	0.14	0.02	0.35	0.1
DNA	P	RND-1_FAMILY-148	90081	383.32	101	1303	244.18	0.09	0.01	0.3	0.04
DNA	P	RND-1_FAMILY-156	74638	627.21	101	2886	527.53	0.07	-0	0.24	0.05
DNA	P	RND-1_FAMILY-21	83513	506.14	102	1508	343.54	0.06	0	0.24	0.06
DNA	P	RND-1_FAMILY-317	26203	623.88	104	1712	412.28	0.06	0.01	0.17	0.04
DNA	P	RND-1_FAMILY-45	44790	376.39	101	737	226.17	0.1	-0	0.29	0.08
DNA	P	RND-1_FAMILY-64	45307	312.46	101	1667	255.16	0.1	-0	0.29	0.04
DNA	P	RND-1_FAMILY-65	96125	384.5	103	944	221.9	0.13	0	0.28	0.07
DNA	P	RND-1_FAMILY-74	9184	483.37	118	1391	430.65	0.07	0.01	0.19	0.06
DNA	P	RND-4_FAMILY-1017	29800	608.16	112	2002	538.03	0.19	0.01	0.4	0.15
DNA	P	RND-4_FAMILY-1204	10122	297.71	105	1086	224.84	0.09	0	0.26	0.06
DNA	P	RND-4_FAMILY-1207	20756	225.61	102	721	129.36	0.11	-0	0.33	0.08
DNA	P	RND-4_FAMILY-1725	18234	1013	112	3332	928.75	0.11	0	0.25	0.09
DNA	P	RND-4_FAMILY-7977	45338	604.51	101	2961	672.15	0.09	0.01	0.26	0.07
DNA	PIF	RND-1_FAMILY-18	286950	621.1	102	1777	357.85	0.08	-0	0.28	0.05
DNA	PIF	RND-1_FAMILY-180	86142	389.78	103	1056	252.45	0.13	0.05	0.26	0.04
DNA	PIF	RND-1_FAMILY-181	15649	312.98	104	1038	238.96	0.1	0.04	0.21	0.04
DNA	PIF	RND-1_FAMILY-192	8676	222.46	109	508	126.12	0.13	0.04	0.27	0.06
DNA	PIF	RND-1_FAMILY-193	9423	241.62	108	661	130.1	0.12	0.04	0.28	0.06
