input_name,consensus_name,blast_hit_n,cons_MSA_seq_n,cons_full_blast_n,input_length,cons_length,input_TE_type,reclassified_type,terminal_repeat,low_copy,evaluation,status
rnd_4_family_9091,rnd_4_family_9091,9,NaN,3.0,5954,5954,LTR/Gypsy,LTR/Gypsy,LTR,True,NaN,processed
rnd_1_family_447,rnd_1_family_447,17,NaN,NaN,6700,6700,LTR/Gypsy,LTR/Gypsy,False,False,NaN,skipped
rnd_4_family_3890,rnd_4_family_3890,21,14.0,1.0,6099,6702,LINE/I-Jockey,LINE/I-Jockey,LTR,False,Need_check,processed
rnd_1_family_195,rnd_1_family_195,354,17.0,0.0,3041,4556,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_284,rnd_1_family_284,25,17.0,2.0,5059,5015,LTR/Gypsy,LTR/Gypsy,LTR,False,Good,processed
rnd_1_family_298,rnd_1_family_298,615,18.0,23.0,4980,4758,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_298,rnd_1_family_298_01,615,10.0,1.0,4980,4726,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_36,rnd_1_family_36,1120,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_36,rnd_1_family_36_01,1120,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_25,rnd_1_family_25,1117,39.0,66.0,4593,4578,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_25,rnd_1_family_25_01,1117,11.0,71.0,4593,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_258,rnd_1_family_258,94,31.0,1.0,6027,5970,LTR/Gypsy,LTR/Gypsy,LTR,False,Need_check,processed
rnd_1_family_258,rnd_1_family_258_01,94,25.0,20.0,6027,5368,LTR/Gypsy,LTR/Gypsy,LTR,False,Good,processed
rnd_4_family_2528,rnd_4_family_2528,20,17.0,0.0,2091,5384,LINE/R1,LINE/R1,False,False,Need_check,processed
rnd_4_family_444,rnd_4_family_444,724,89.0,47.0,1584,5461,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_1_family_262,rnd_1_family_262,488,12.0,0.0,2700,9394,Unknown,Satellite,False,False,Need_check,processed
rnd_1_family_262,rnd_1_family_262_01,488,14.0,0.0,2700,4735,Unknown,Satellite,False,False,Need_check,processed
rnd_3_family_691,rnd_3_family_691,599,16.0,24.0,5036,4748,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_3_family_691,rnd_3_family_691_01,599,10.0,2.0,5036,4960,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_0,rnd_1_family_0,267,47.0,19.0,385,370,Unknown,Satellite,False,False,Reco_check,processed
rnd_4_family_182,rnd_4_family_182,1120,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_4_family_182,rnd_4_family_182_01,1120,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_4_family_22,rnd_4_family_22,1120,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_4_family_22,rnd_4_family_22_01,1120,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_4_family_1588,rnd_4_family_1588,25,18.0,2.0,5041,5007,LTR/Gypsy,LTR/Gypsy,LTR,False,Good,processed
rnd_4_family_1995,rnd_4_family_1995,34,28.0,0.0,3987,5134,LINE/R1,LINE/R1,False,False,Need_check,processed
rnd_1_family_306,rnd_1_family_306,609,22.0,25.0,5039,4555,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_306,rnd_1_family_306_01,609,60.0,26.0,5039,4553,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
