input_name,consensus_name,blast_hit_n,cons_MSA_seq_n,cons_full_blast_n,input_length,cons_length,input_TE_type,reclassified_type,terminal_repeat,low_copy,evaluation,status
FBte0000288,FBte0000288,0,NaN,NaN,1106,1106,Unknown,Unknown,False,False,NaN,skipped
FBte0000034,FBte0000034,0,NaN,NaN,1728,1728,Unknown,Unknown,False,False,NaN,skipped
FBte0000414,FBte0000414,2,NaN,NaN,1653,1653,Unknown,Unknown,False,False,NaN,skipped
FBte0000670,FBte0000670,6,NaN,NaN,1435,1435,Unknown,Unknown,False,False,NaN,skipped
FBte0000023,FBte0000023,26,NaN,NaN,5143,5143,Unknown,Unknown,False,False,NaN,skipped
FBte0000341,FBte0000341,0,NaN,NaN,4725,4725,Unknown,Unknown,False,False,NaN,skipped
FBte0000154,FBte0000154,6,NaN,NaN,2959,2959,Unknown,Unknown,False,False,NaN,skipped
FBte0000466,FBte0000466,0,NaN,NaN,4347,4347,Unknown,Unknown,False,False,NaN,skipped
FBte0000005,FBte0000005,0,NaN,NaN,4708,4708,Unknown,Unknown,False,False,NaN,skipped
FBte0000675,FBte0000675,0,NaN,NaN,6995,6995,Unknown,Unknown,False,False,NaN,skipped
FBte0000568,FBte0000568,0,NaN,NaN,2121,2121,Unknown,Unknown,False,False,NaN,skipped
FBte0000088,FBte0000088,0,NaN,NaN,5020,5020,Unknown,Unknown,False,False,NaN,skipped
FBte0000109,FBte0000109,0,NaN,NaN,7439,7439,Unknown,Unknown,False,False,NaN,skipped
FBte0000266,FBte0000266,0,NaN,NaN,6126,6126,Unknown,Unknown,False,False,NaN,skipped
FBte0001005,FBte0001005,7,NaN,NaN,1736,1736,Unknown,Unknown,False,False,NaN,skipped
FBte0000037,FBte0000037,11,NaN,NaN,2907,2907,Unknown,Unknown,False,False,NaN,skipped
FBte0000657,FBte0000657,0,NaN,NaN,4346,4346,Unknown,Unknown,False,False,NaN,skipped
FBte0000030,FBte0000030,4,NaN,NaN,3607,3607,Unknown,Unknown,False,False,NaN,skipped
FBte0000143,FBte0000143,0,NaN,NaN,6083,6083,Unknown,Unknown,False,False,NaN,skipped
FBte0000780,FBte0000780,12,12.0,3.0,5142,3849,Unknown,LINE/I-Jockey,False,False,Need_check,processed
FBte0000104,FBte0000104,37,10.0,2.0,7411,6612,Unknown,LTR/Gypsy,LTR,False,Good,processed
FBte0000100,FBte0000100,14,NaN,NaN,9092,9092,Unknown,Unknown,False,False,NaN,skipped
FBte0000918,FBte0000918,0,NaN,NaN,7521,7521,Unknown,Unknown,False,False,NaN,skipped
FBte0000179,FBte0000179,0,NaN,NaN,8526,8526,Unknown,Unknown,False,False,NaN,skipped
FBte0000133,FBte0000133,48,20.0,2.0,5371,5103,Unknown,LINE/I,False,False,Reco_check,processed
FBte0000133,FBte0000133_01,48,19.0,5.0,5371,4919,Unknown,LINE/I,False,False,Need_check,processed
FBte0001377,FBte0001377,0,NaN,NaN,5249,5249,Unknown,Unknown,False,False,NaN,skipped
FBte0000015,FBte0000015,35,13.0,0.0,7480,7198,Unknown,LTR/Gypsy,LTR,False,Need_check,processed
FBte0001207,FBte0001207,0,NaN,NaN,10654,10654,Unknown,Unknown,False,False,NaN,skipped
FBte0000112,FBte0000112,10,10.0,5.0,4581,6386,Unknown,LTR/Pao,LTR,False,Good,processed
FBte0001160,FBte0001160,0,NaN,NaN,4740,4740,Unknown,Unknown,False,False,NaN,skipped
FBte0001208,FBte0001208,0,NaN,NaN,11124,11124,Unknown,Unknown,False,False,NaN,skipped
FBte0000003,FBte0000003,37,20.0,6.0,4648,4526,Unknown,LTR/Copia,LTR,False,Good,processed
FBte0000003,FBte0000003_01,37,15.0,6.0,4648,4525,Unknown,LTR/Copia,LTR,False,Good,processed
FBte0000660,FBte0000660,17,15.0,1.0,5034,4902,Unknown,LTR/Gypsy,LTR,False,Need_check,processed
FBte0000312,FBte0000312,0,NaN,NaN,611,611,Unknown,Unknown,False,False,NaN,skipped
FBte0000217,FBte0000217,0,NaN,NaN,8435,8435,Unknown,Unknown,False,False,NaN,skipped
FBte0000007,FBte0000007,47,19.0,0.0,7567,6945,Unknown,LTR/Gypsy,LTR,False,Need_check,processed
FBte0000007,FBte0000007_01,47,10.0,2.0,7567,5088,Unknown,LTR/Gypsy,False,False,Need_check,processed
