name	coverage	copy_number
FBTE0000140#LINE/CR1	3183422	2264
RND-4_FAMILY-2522#RC/Helitron	1958282	2323
FBTE0000176#LINE/R1-LOA	1565151	887
FBTE0000039_01#LINE/R1-LOA	1251211	640
FBTE0001178#LTR/Pao	1026922	402
RND-1_FAMILY-17#LINE/R1-LOA	960485	674
RND-1_FAMILY-238#LINE/CR1	680458	547
FBTE0000599#LINE/CR1	606426	449
RND-1_FAMILY-163#LINE/R1-LOA	538298	364
FBTE0000588_01#LTR/Gypsy	515603	735
FBTE0001178_01#LTR/Pao	495090	236
RND-1_FAMILY-78#DNA/CMC-Chapaev-3	494761	438
FBTE0001040_01#LTR/Gypsy	488202	219
FBTE0001144#Unknown	475957	817
RND-1_FAMILY-10#Unknown	461069	1376
RND-1_FAMILY-226#LTR/Gypsy	436488	218
RND-3_FAMILY-223#RC/Helitron	373164	1240
RND-1_FAMILY-166#RC/Helitron	370693	530
RND-4_FAMILY-78#LINE/CR1	364474	301
RND-1_FAMILY-9#DNA/CMC-Chapaev-3	342863	296
FBTE0000359#LTR/Pao	325733	132
FBTE0000739_01#LTR/Gypsy	320179	160
RND-4_FAMILY-2163#LTR/Pao	319422	177
RND-1_FAMILY-309#LTR/Pao	317459	216
RND-1_FAMILY-100#LTR/Gypsy	314641	101
RND-1_FAMILY-134#LINE/CR1	310825	195
RND-3_FAMILY-377#LTR/Pao	306493	188
RND-1_FAMILY-135#Unknown	303340	1090
RND-1_FAMILY-310#LTR/Gypsy	297210	520
RND-1_FAMILY-176#RC/Helitron	290226	659
RND-1_FAMILY-27#LTR/Gypsy	289083	122
RND-1_FAMILY-18#DNA/PIF-Harbinger	286488	462
FBTE0000587#LTR/Gypsy	277530	153
RND-1_FAMILY-96#LTR/Gypsy	272145	61
RND-1_FAMILY-4#Unknown	268963	1128
RND-1_FAMILY-301#RC/Helitron	265001	104
RND-1_FAMILY-230#Unknown	263451	573
RND-4_FAMILY-2884#LTR/Gypsy	255033	166
RND-1_FAMILY-331#LINE/L2	250628	254
RND-1_FAMILY-392#Unknown	240868	157
RND-1_FAMILY-222#LINE/I	237370	186
RND-1_FAMILY-199#RC/Helitron	235318	451
RND-3_FAMILY-359#LTR/Pao	231379	233
FBTE0000021#LTR/Gypsy	228588	65
RND-1_FAMILY-55#DNA/TcMar-Tc1	220672	299
RND-1_FAMILY-149#LINE/R1-LOA	218845	106
RND-1_FAMILY-208#LINE/CR1	212344	340
FBTE0000021_01#LTR/Gypsy	209585	67
FBTE0000042#LTR/Gypsy	208803	97
FBTE0001136#LTR/Gypsy	204521	35
FBTE0000357#LTR/Gypsy	204399	110
RND-4_FAMILY-2869#DNA/Maverick	197205	148
RND-1_FAMILY-250#LTR/Pao	193466	104
RND-4_FAMILY-192#LTR/Gypsy	189453	82
RND-4_FAMILY-775#LTR/Pao	189247	107
RND-1_FAMILY-224#RC/Helitron	187997	513
FBTE0000588#LTR/Gypsy	187916	76
RND-1_FAMILY-53#LINE/R1-LOA	184604	107
RND-1_FAMILY-48#DNA/PIF-Harbinger	183900	349
RND-1_FAMILY-49#LINE/R1-LOA	181720	147
RND-2_FAMILY-155#Unknown	180202	253
RND-1_FAMILY-184#LTR/Pao	180002	109
FBTE0000190#DNA/TcMar-Tc1	169940	425
RND-1_FAMILY-380#Unknown	167950	136
RND-1_FAMILY-157#DNA/Maverick	167323	67
FBTE0000464#LTR/Pao	166849	200
RND-1_FAMILY-175#LTR/Pao	166788	84
RND-1_FAMILY-386#LTR/Pao	163616	85
FBTE0000472#LTR/Gypsy	163519	103
FBTE0000464_01#LTR/Pao	163198	104
RND-4_FAMILY-4580#LTR/Gypsy	161167	98
RND-4_FAMILY-9452#LINE/CR1	159105	135
RND-1_FAMILY-249#LINE/R1-LOA	158966	205
RND-1_FAMILY-92#LTR/Pao	158193	96
RND-3_FAMILY-1035#Unknown	158152	302
RND-4_FAMILY-3626#Satellite	153043	12
RND-4_FAMILY-252#DNA/Maverick	151183	108
RND-1_FAMILY-14#Unknown	151089	240
RND-1_FAMILY-15#Unknown	149474	303
RND-1_FAMILY-185#RC/Helitron	147069	47
RND-1_FAMILY-140#LTR/Pao	146158	69
FBTE0000003#LTR/Copia	145486	128
RND-1_FAMILY-43#Unknown	142616	342
RND-4_FAMILY-590#LTR/Gypsy	140663	90
RND-4_FAMILY-558#LTR/Gypsy	139894	95
FBTE0000136#Unknown	139835	299
RND-1_FAMILY-8#DNA/CMC-Chapaev-3	138918	147
RND-4_FAMILY-5393#DNA/TcMar-Mariner	137532	450
RND-1_FAMILY-377#LTR/Gypsy	131356	84
RND-1_FAMILY-235#LTR/Gypsy	130830	121
RND-1_FAMILY-12#Unknown	128820	234
RND-1_FAMILY-311#LTR/Pao	125626	212
RND-1_FAMILY-125#LTR/Gypsy	123059	118
RND-1_FAMILY-327#LTR/Pao	121457	63
FBTE0000304_01#LTR/Pao	121264	60
RND-1_FAMILY-217#LTR/Pao	121026	134
RND-4_FAMILY-3017#LTR/Pao	120986	81
RND-4_FAMILY-865#LTR/Gypsy	119625	319
RND-1_FAMILY-105#LTR/Pao	118286	281
RND-1_FAMILY-260#RC/Helitron	118226	56
RND-1_FAMILY-237#LINE/I-Jockey	117759	53
RND-1_FAMILY-46#Unknown	117373	211
RND-4_FAMILY-499#LTR/Pao	115436	59
RND-1_FAMILY-218#DNA/CMC-Transib	114979	202
RND-4_FAMILY-3555#LTR/Pao	114779	82
RND-1_FAMILY-51#RC/Helitron	113835	123
RND-4_FAMILY-77#LTR/Gypsy	113436	65
FBTE0001066_01#LTR/Gypsy	113294	63
RND-4_FAMILY-75#DNA/TcMar-Tc1	112108	221
FBTE0000619_01#LTR/Gypsy	111866	84
RND-1_FAMILY-97#RC/Helitron	110400	146
FBTE0000112#LTR/Pao	110019	78
RND-1_FAMILY-89#DNA/TcMar-Tc1	108533	190
RND-1_FAMILY-127#LTR/Gypsy	107915	154
FBTE0000688#LTR/Gypsy	107366	90
RND-4_FAMILY-1447#LTR/Pao	105771	160
RND-1_FAMILY-384#Unknown	104042	19
RND-1_FAMILY-365#LINE/I-Jockey	103976	173
RND-4_FAMILY-789#LTR/Gypsy	101831	64
RND-3_FAMILY-1881#LTR/Gypsy	100001	50
RND-1_FAMILY-35#Satellite	98556	40
RND-3_FAMILY-358#DNA/PIF-Harbinger	97895	121
RND-1_FAMILY-3#Satellite	97128	28
RND-1_FAMILY-397#LTR/Pao	97065	57
RND-4_FAMILY-666#DNA/CMC-Chapaev-3	97016	192
RND-1_FAMILY-348#Unknown	95964	46
RND-1_FAMILY-65#DNA/P	95875	250
RND-4_FAMILY-1604#LTR/Gypsy	95315	63
