input_name,consensus_name,blast_hit_n,cons_MSA_seq_n,cons_full_blast_n,input_length,cons_length,input_TE_type,reclassified_type,terminal_repeat,low_copy,evaluation,status
rnd_4_family_2789,rnd_4_family_2789,9,NaN,3.0,5954,5954,LTR/Gypsy,LTR/Gypsy,LTR,True,NaN,processed
rnd_4_family_226,rnd_4_family_226,17,NaN,NaN,6700,6700,LTR/Gypsy,LTR/Gypsy,False,False,NaN,skipped
rnd_4_family_3390,rnd_4_family_3390,21,14.0,1.0,6099,6702,LINE/I-Jockey,LINE/I-Jockey,LTR,False,Need_check,processed
rnd_4_family_8622,rnd_4_family_8622,21,14.0,0.0,6092,7442,LINE/I-Jockey,LINE/I-Jockey,LTR,False,Need_check,processed
rnd_4_family_3649,rnd_4_family_3649,25,17.0,2.0,5059,5015,LTR/Gypsy,LTR/Gypsy,LTR,False,Good,processed
rnd_1_family_72,rnd_1_family_72,616,18.0,24.0,4973,4752,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_72,rnd_1_family_72_01,616,10.0,1.0,4973,4726,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_356,rnd_1_family_356,615,18.0,23.0,4975,4758,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_356,rnd_1_family_356_01,615,10.0,1.0,4975,4726,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_136,rnd_1_family_136,1126,38.0,65.0,4606,4596,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_136,rnd_1_family_136_01,1126,12.0,71.0,4606,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_228,rnd_1_family_228,1119,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_228,rnd_1_family_228_01,1119,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_491,rnd_1_family_491,1120,38.0,65.0,4603,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_491,rnd_1_family_491_01,1120,12.0,71.0,4603,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
